REC_TAG	NODE_ID	NODE_DESC
308	"0.75""-AM-2575-0113A-NI"	"Sample Connection SC208 Off Line 2""-AM-2515-0113A-NI"
309	"0.75""-AM-2576-0113A-NI"	"Sample Connection SC208 Off Line 2""-AM-2515-0113A-NI"
310	"0.75""-AM-8121-0113A-NI"	From 06B52T-832 to 06B52P-894A
311	"0.75""-AM-8123-0113A-NI"	"From 4""-AM-8121-0113A-NI to 06B52P-894B"
312	"0.75""-AP-1530-0102G-NI"	"From 2""-AP-1733-0102G-NI to US-103D"
313	"0.75""-AP-1734-0102G-NI"	"From 2""-AP-1733-0102G-NI to US-101"
314	"0.75""-AP-1735-0102G-NI"	"From 2""-AP-1733-0102G-NI to US-103"
315	"0.75""-AP-1737-0102G-NI"	"From 2""-AP-1733-0102G-NI to US-104"
316	"0.75""-AP-1762-0102G-NI"	"From 3""-AP-8276-0102G-NI to US-105"
317	"0.75""-AP-1861-0102G-NI"	"From 2""-AP-1530-0102G-NI to US-103A"
318	"0.75""-AP-1862-0102G-NI"	"From 2""-AP-1530-0102G-NI to US-103B"
319	"0.75""-AP-1863-0102G-NI"	"From 2""-AP-1530-0102G-NI to US-103C"
320	"0.75""-AP-2530-0102G-NI"	"From 2""-AP-2733-0102G-NI to US-203D"
321	"0.75""-AP-2734-0102G-NI"	"From 2""-AP-2733-0102G-NI to US-201"
322	"0.75""-AP-2735-0102G-NI"	"From 2""-AP-2733-0102G-NI to US-203"
323	"0.75""-AP-2737-0102G-NI"	"From 2""-AP-2733-0102G-NI to US-204"
324	"0.75""-AP-2762-0102G-NI"	"From 3""-AP-8276-0102G-NI to US-205"
